site,model,n,pos,pairs,auc
Peking_2,full_fusion_mlp,14,9,45,0.5555555555555556
Peking_2,full_fusion_structural_mlp,14,9,45,0.4666666666666667
Peking_2,full_fusion_tiv_mlp,14,9,45,0.6888888888888889
Peking_2,image_fusion_lr,14,9,45,0.6222222222222222
Peking_2,image_fusion_mlp,14,9,45,0.5555555555555556
Peking_2,structural_lr,14,9,45,0.5111111111111111
Peking_2,structural_mlp,14,9,45,0.37777777777777777
Peking_2,structural_tiv_lr,14,9,45,0.5111111111111111
Peking_2,tangent_lr,14,9,45,0.7333333333333334
Peking_2,tangent_mlp,14,9,45,0.7333333333333334
Peking_2,tiv_lr,14,9,45,0.7555555555555555
Peking_3,full_covariates_lr,6,3,9,0.888888888888889
Peking_3,full_covariates_tiv_lr,6,3,9,1.0
Peking_3,full_functional_lr,6,3,9,0.6666666666666666
Peking_3,full_functional_mlp,6,3,9,0.6666666666666666
Peking_3,full_functional_tiv_mlp,6,3,9,0.7777777777777779
Peking_3,full_fusion_lr,6,3,9,0.33333333333333337
Peking_3,full_fusion_mlp,6,3,9,0.33333333333333337
Peking_3,full_fusion_structural_mlp,6,3,9,0.5555555555555556
Peking_3,full_fusion_tiv_mlp,6,3,9,0.33333333333333337
Peking_3,image_fusion_lr,6,3,9,0.22222222222222224
Peking_3,image_fusion_mlp,6,3,9,0.33333333333333337
Peking_3,structural_lr,6,3,9,0.33333333333333337
Peking_3,structural_mlp,6,3,9,0.33333333333333337
Peking_3,structural_tiv_lr,6,3,9,0.22222222222222224
Peking_3,tangent_lr,6,3,9,0.11111111111111112
Peking_3,tangent_mlp,6,3,9,0.4444444444444444
Peking_3,tiv_lr,6,3,9,0.7777777777777779
